//Index	Name				Option1	Value1	Option2	Value2	Option3	Value3	Option4	Value4	Option5	Value5	Option6	Value6	Option7	Value7	Option8	Value8	Option9	Value9	Option10	Value10	Option11	Value11	Option12	Value12	FullOption1	FullValue1	FullOption2	FullValue2	FullOption3	FullValue3	FullOption4	FullValue4	FullOption5	FullValue5
24		"Fase"				11		100		*		*		12		100		*		*		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		10			100			*			*			*			*			*			*			*			*
25		"Odin"				2		15		*		*		11		50		*		*		9		50		*		*		1		30		*		*		*		*		*			*		*			*		*			*		12			50			21			5			13			50			*			*			*			*
26		"Elvian"			1		30		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		21			5			*			*			*			*			*			*			*			*
27		"Argo"				6		20		*		*		19		25		*		*		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		13			50			20			5			*			*			*			*			*			*
28		"Karis"				19		15		*		*		20		10		*		*		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			10			1			40			*			*			*			*			*			*
29		"Gywen"				1		30		*		*		5		20		*		*		10		20		*		*		6		20		*		*		*		*		*			*		*			*		*			*		15			15			17			15			16			20			18			20			*			*
30		"Aruan"				8		10		*		*		20		10		*		*		19		20		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			21			5			*			*			*			*
31		"Gaion"				21		5		*		*		20		15		*		*		19		15		*		*		*		*		*		*		*		*		*			*		*			*		*			*		17			15			18			30			7			10			0			30			*			*
32		"Muren"				19		10		*		*		7		10		*		*		20		10		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			10			25			23			20			*			*
33		"Agnis"				20		10		*		*		10		40		*		*		19		20		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			16			20			18			20			*			*
34		"Broy"				8		20		*		*		19		20		*		*		2		30		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			21			5			4			30			*			*
35		"Chrono"			20		20		*		*		10		60		*		*		19		30		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			16			20			18			20			*			*
36		"Sedemen"			7		15		*		*		19		25		*		*		2		30		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			21			5			*			*			*			*
37		"Vega"				9		50		*		*		3		50		*		*		6		30		*		*		*		*		*		*		*		*		*			*		*			*		*			*		17			15			20			5			21			5			*			*			*			*
38		"Chamer"			10		50		*		*		20		5		*		*		8		30		*		*		*		*		*		*		*		*		*			*		*			*		*			*		16			30			17			15			19			30			18			20			*			*
39		"Moros"				11		30		*		*		19		25		*		*		10		20		*		*		20		10		*		*		*		*		*			*		*			*		*			*		15			10			17			10			16			10			18			10			*			*
40		"Dione"				11		30		*		*		19		25		*		*		10		20		*		*		20		10		*		*		*		*		*			*		*			*		*			*		15			10			17			10			16			10			18			10			*			*
41		"Hades"				11		30		*		*		19		25		*		*		10		20		*		*		20		10		*		*		*		*		*			*		*			*		*			*		15			10			17			10			16			10			18			10			*			*
42		"Ophion"			11		30		*		*		19		25		*		*		10		20		*		*		20		10		*		*		*		*		*			*		*			*		*			*		15			10			17			10			16			10			18			10			*			*
43		"Meter"				11		50		*		*		10		40		*		*		20		15		*		*		15		15		*		*		*		*		*			*		*			*		*			*		17			15			16			20			18			20			21			5			*			*
44		"Hegaton"			11		50		*		*		10		40		*		*		20		15		*		*		15		15		*		*		*		*		*			*		*			*		*			*		17			15			16			20			18			20			21			5			*			*
45		"Castol"			11		50		*		*		10		40		*		*		20		15		*		*		15		15		*		*		*		*		*			*		*			*		*			*		17			15			16			20			18			20			21			5			*			*
46		"Taros"				11		50		*		*		10		40		*		*		20		15		*		*		15		15		*		*		*		*		*			*		*			*		*			*		17			15			16			20			18			20			21			5			*			*
47		"Nemesis"			11		50		*		*		10		40		*		*		20		15		*		*		15		15		*		*		*		*		*			*		*			*		*			*		17			15			16			20			18			20			21			5			*			*
48		"Amis"				11		50		*		*		10		40		*		*		20		15		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			16			20			18			20			21			5
49		"Trite"				11		50		*		*		10		40		*		*		20		15		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			16			20			18			20			21			5
//-- SET BLOODANGEL
50		"Fury"				19		25		0		50		20		10		8		50		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			21			5			16			30			18			30
51		"Transcendence"		19		25		2		50		20		10		7		50		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			21			5			16			30			18			30
52		"Flurry"			19		25		1		50		20		10		8		50		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			21			5			16			30			18			30
53		"Honor"				19		25		2		50		20		10		7		50		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			21			5			16			30			18			30
54		"Extremity"			19		25		0		50		20		10		8		50		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			21			5			16			30			18			30
55		"Horsepower's"		19		25		2		50		20		10		7		50		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			21			5			16			30			18			30
56		"Conquest"			19		25		0		50		20		10		8		50		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			21			5			16			30			18			30
57		"Destruction"		19		25		0		50		20		10		8		50		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			15			17			15			21			5			16			30			18			30
//-- SET DARKANGEL
58		"Courage's"			19		30		0		70		20		15		8		75		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			18			17			18			21			7			16			35			18			50
59		"Wisdom's"			19		40		2		70		20		15		7		75		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			18			17			18			21			7			16			35			18			50
60		"Speed's"			19		30		1		70		20		15		8		75		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			18			17			18			21			7			16			35			18			50
61		"Chaos's"			19		40		2		70		20		15		7		75		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			18			17			18			21			7			16			35			18			50
62		"Determination's"	19		30		0		70		20		15		8		75		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			18			17			18			21			7			16			35			18			50
63		"Fallen's"			19		40		2		70		20		15		7		75		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			18			17			18			21			7			16			35			18			50
64		"Justice's"			19		30		0		70		20		15		8		75		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			18			17			18			21			7			16			35			18			50
65		"Will's"			19		30		0		70		20		15		8		75		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			18			17			18			21			7			16			35			18			50
//-- SET HOLYANGEL
66		"Protection's"		19		35		0		90		20		18		8		100		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			20			17			20			21			9			16			40			18			70
67		"Tranquil's"		19		50		2		90		20		18		7		100		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			20			17			20			21			9			16			40			18			70
68		"Of's"				19		35		1		90		20		18		8		100		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			20			17			20			21			9			16			40			18			70
69		"Guardian's"		19		50		2		90		20		18		7		100		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			20			17			20			21			9			16			40			18			70
70		"Solid's"			19		35		0		90		20		18		8		100		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			20			17			20			21			9			16			40			18			70
71		"Decisive's"		19		50		2		90		20		18		7		100		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			20			17			20			21			9			16			40			18			70
72		"Determined's"		19		35		0		90		20		18		8		100		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			20			17			20			21			9			16			40			18			70
73		"Muscular's"		19		35		0		90		20		18		8		100		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			20			17			20			21			9			16			40			18			70
//-- SET AWAKENING
74		"Ancient"			19		40		0		100		20		20		8		120		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			22			17			22			21			11			16			45			18			90
75		"Ancient"			19		55		2		100		20		20		7		120		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			22			17			22			21			11			16			45			18			90
76		"Ancient"			19		40		1		100		20		20		8		120		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			22			17			22			21			11			16			45			18			90
77		"Ancient"			19		55		2		100		20		20		7		120		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			22			17			22			21			11			16			45			18			90
78		"Ancient"			19		40		0		100		20		20		8		120		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			22			17			22			21			11			16			45			18			90
79		"Ancient"			19		55		2		100		20		20		7		120		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			22			17			22			21			11			16			45			18			90
80		"Ancient"			19		40		0		100		20		20		8		120		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			22			17			22			21			11			16			45			18			90
81		"Ancient"			19		40		0		100		20		20		8		120		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			22			17			22			21			11			16			45			18			90
//-- SET Blue Eyes
82		"Mastery's"			19		50		0		120		20		23		8		130		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			25			21			13			16			60			18			110
83		"Mastery's"			19		60		2		120		20		23		7		130		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			25			21			13			16			60			18			110
84		"Mastery's"			19		50		1		120		20		23		8		130		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			25			21			13			16			60			18			110
85		"Mastery's"			19		60		2		120		20		23		7		130		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			25			21			13			16			60			18			110
86		"Mastery's"			19		50		0		120		20		23		8		130		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			25			21			13			16			60			18			110
87		"Mastery's"			19		60		2		120		20		23		7		130		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			25			21			13			16			60			18			110
88		"Mastery's"			19		50		0		120		20		23		8		130		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			25			21			13			16			60			18			110
89		"Mastery's"			19		50		0		120		20		23		8		130		*		*		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			25			21			13			16			60			18			110
//Index	Name				Option1	Value1	Option2	Value2	Option3	Value3	Option4	Value4	Option5	Value5	Option6	Value6	Option7	Value7	Option8	Value8	Option9	Value9	Option10	Value10	Option11	Value11	Option12	Value12	FullOption1	FullValue1	FullOption2	FullValue2	FullOption3	FullValue3	FullOption4	FullValue4	FullOption5	FullValue5
//-- SET Silver Heart
90		"Ancient"			19		55		0		140		20		26		8		150		9		3		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			26			21			15			16			70			18			120
91		"Ancient"			19		65		2		140		20		26		7		150		9		3		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			26			21			15			16			70			18			120
92		"Ancient"			19		55		1		140		20		26		8		150		9		3		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			26			21			15			16			70			18			120
93		"Ancient"			19		65		2		140		20		26		7		150		9		3		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			26			21			15			16			70			18			120
94		"Ancient"			19		55		0		140		20		26		8		150		9		3		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			26			21			15			16			70			18			120
95		"Ancient"			19		65		2		140		20		26		7		150		9		3		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			26			21			15			16			70			18			120
96		"Ancient"			19		55		0		140		20		26		8		150		9		3		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			26			21			15			16			70			18			120
97		"Ancient"			19		55		0		140		20		26		8		150		9		3		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			26			21			15			16			70			18			120
98		"Ancient"			19		55		0		140		20		26		8		150		9		3		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			25			17			26			21			15			16			70			18			120
//-- SET Manticore
99		"Roaring"			19		65		0		160		20		29		8		170		9		5		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			28			17			28			21			18			16			80			18			140
100		"Roaring"			19		70		2		160		20		29		7		170		9		5		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			28			17			28			21			18			16			80			18			140
101		"Roaring"			19		65		1		160		20		29		8		170		9		5		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			28			17			28			21			18			16			80			18			140
102		"Roaring"			19		70		2		160		20		29		7		170		9		5		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			28			17			28			21			18			16			80			18			140
103		"Roaring"			19		65		0		160		20		29		8		170		9		5		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			28			17			28			21			18			16			80			18			140
104		"Roaring"			19		70		2		160		20		29		7		170		9		5		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			28			17			28			21			18			16			80			18			140
105		"Roaring"			19		65		0		160		20		29		8		170		9		5		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			28			17			28			21			18			16			80			18			140
106		"Roaring"			19		65		0		160		20		29		8		170		9		5		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			28			17			28			21			18			16			80			18			140
107		"Roaring"			19		65		0		160		20		29		8		170		9		5		*		*		*		*		*		*		*		*		*			*		*			*		*			*		15			28			17			28			21			18			16			80			18			140
end
