0
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
13       0      22      1       3        1            1            1          "Double Blade"                       48      48          56          30            43           0                 0                 0          70            70             0           0             0               0      0       1       1       1       0       0       0
14       0      22      1       3        1            1            1          "Lighting Sword"                     59      59          67          30            50           0                 0                 0          90            50             0           0             0               0      0       1       1       1       0       0       0
15       0      23      2       3        1            1            1          "Giant Sword"                        52      60          85          20            60           0                 0                 0          140           0              0           0             0               0      0       1       0       1       0       0       0
16       0      22      1       4        1            1            1          "Sword of Destruction"               82      82          90          35            84           0                 0                 0          160           60             0           0             0               0      0       1       0       1       0       0       0
17       0      23      2       4        1            1            1          "Dark Breaker"                       104     128         153         40            89           0                 0                 0          180           50             0           0             0               0      0       2       0       0       0       0       0
18       0      23      2       3        1            1            1          "Thunder Blade"                      105     140         168         40            86           0                 0                 0          180           50             0           0             0               0      0       0       0       1       0       0       0
19       0      22      1       4        1            1            1          "Divine Sword of Archangel"          86      220         230         45            168          0                 0                 0          140           50             0           0             0               0      0       1       0       1       1       0       0
20       0      22      1       4        1            1            1          "Knight Blade"                       140     107         115         35            90           0                 0                 0          116           38             0           0             0               0      0       2       0       0       0       0       0
21       0      56      2       4        1            1            1          "Dark Reign Blade"                   140     115         142         40            100          0                 115               0          116           53             9           0             0               0      0       0       0       1       0       0       0
22       0      22      1       4        1            1            1          "Bone Blade"                         147     122         135         40            95           0                 0                 380        100           35             0           0             0               0      0       2       0       0       0       0       0
23       0      56      2       4        1            1            1          "Explosion Blade"                    147     127         155         45            110          0                 134               380        98            48             7           0             0               0      0       0       0       1       0       0       0
24       0      22      2       4        1            1            1          "Daybreak"                           115     182         218         40            90           0                 0                 0          192           30             0           0             0               0      0       2       0       0       0       0       0
25       0      56      2       4        1            1            1          "Sword Dancer"                       115     109         136         40            90           0                 108               0          136           57             9           0             0               0      0       0       0       1       0       0       0
26       0      22      1       4        1            1            1          "Flameberge"                         137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       0       0       0       0
27       0      22      1       4        1            1            1          "Sword Breaker"                      133     91          99          35            90           0                 0                 380        53            176            0           0             0               0      0       2       0       0       0       0       0
28       0      56      1       4        1            1            1          "Rune Bastard Sword"                 139     98          122         45            90           0                 109               380        91            73             17          0             0               0      0       0       0       1       0       0       0
29       0      22      1       4        1            1            0          "Sonic Blade"                        149     109         116         35            80           0                 0                 380        49            162            0           0             0               0      0       3       0       0       0       0       0
30       0      56      1       4        1            1            0          "Asura"                              149     115         140         45            90           0                 112               380        86            70             16          0             0               0      0       0       0       3       0       0       0
31       0      56      2       4        1            1            1          "Rune Blade"                         100     104         130         35            93           0                 104               0          135           62             9           0             0               0      0       0       0       1       0       0       0
32       0      260     1       2        1            1            1          "Sacred Glove"                       52      52          58          25            65           0                 0                 0          85            35             0           0             0               0      0       0       0       0       0       0       1
33       0      261     1       2        1            1            1          "Holly Storm Claws"                  82      82          88          30            77           0                 0                 0          100           50             0           0             0               0      0       0       0       0       0       0       1
34       0      260     1       2        1            1            1          "Piercing Glove"                     105     95          101         35            86           0                 0                 0          120           60             0           0             0               0      0       0       0       0       0       0       1
35	 	 0		270		1		2	 	 1	      	  1	           1	      "Phoenix Soul Star"	           	   147	   183	       192	   	   40	         98	      	  0	                0	          	  380        101	   	   51	          0	      	  0	            0	            0	   0	   0	   0	   0	   0	   0	   1	
36       0      22      1       4        1            1            0          "Cyclone Sword"                      149     129         144         40            90           0                 0                 380        182           50             0           0             0               0      0       3       0       0       0       0       0
37       0      23      2       4        1            1            0          "Blast Break"                        149     163         216         30            130          0                 0                 380        182           50             0           0             0               0      0       3       0       3       0       0       0
42       0      22      1       4        1            1            0          "Bloodangel Sword"                   150     252         263         40            100          0                 0                 380        165           51             0           0             0               0      0       3       0       0       0       0       0
44       0      56      1       4        1            1            0          "Bloodangel Magic Sword"             150     246         257         45            100          0                 112               380        120           72             17          0             0               0      0       0       0       3       0       0       0
46       0      270     1       2        1            1            0          "Bloodangel Claws"                   150     147         157         35            100          0                 0                 380        95            30             0           0             0               0      0       0       0       0       0       0       3
51       0      22      1       4        1            1            0          "Blessed Divine Arch Sword"          200     265         275         45            170          0                 0                 380        60            30             0           0             0               0      0       1       0       1       1       0       0
52       0      270     1       2        1            1            0          "Pantera Claws"                      139     26          34          40            95           0                 0                 380        78            25             0           0             0               0      0       0       0       0       0       0       3
53       0      270     1       2        1            1            0          "Devast Claws"                       149     35          46          40            95           0                 0                 380        82            28             0           0             0               0      0       0       0       0       0       0       3
54       0      22      1       4        1            1            0          "Darkangel Sword"                    160     302         313         40            100          0                 0                 380        165           51             0           0             0               0      0       3       0       0       0       0       0
55       0      56      1       4        1            1            0          "Darkangel Magic Sword"              160     300         311         45            100          0                 118               380        120           72             17          0             0               0      0       0       0       3       0       0       0
56       0      270     1       2        1            1            0          "Darkangel Claws"                    160     214         224         35            100          0                 0                 380        95            30             0           0             0               0      0       0       0       0       0       0       3
57       0      22      1       4        1            1            0          "Holyangel Sword"                    180     365         376         40            100          0                 0                 380        152           47             0           0             0               0      0       3       0       0       0       0       0
58       0      56      1       4        1            1            0          "Holyangel Magic Sword"              180     364         375         45            100          0                 125               380        111           67             16          0             0               0      0       0       0       3       0       0       0
59       0      270     1       2        1            1            0          "Holyangel Claws"                    180     277         287         35            100          0                 0                 380        88            28             0           0             0               0      0       0       0       0       0       0       3
60       0      270     1       2        1            1            0          "Archangel Absolute Claws"           100     121         130         35            160          0                 0                 380        68            23             0           0             0               0      0       0       0       0       0       0       3
61       0      270     1       2        1            1            0          "Blessed Arch's Absolute Claws"      200     136         147         35            160          0                 0                 380        60            22             0           0             0               0      0       0       0       0       0       0       3
62       0      22      1       4        1            1            0          "Soul Sword"                         200     428         439         40            100          0                 0                 380        141           44             0           0             0               0      0       3       0       0       0       0       0
63       0      56      1       4        1            1            0          "Soul Magic Sword"                   200     427         438         45            100          0                 133               380        103           62             15          0             0               0      0       0       0       3       0       0       0
64       0      270     1       2        1            1            0          "Soul Claws"                         200     340         350         35            100          0                 0                 380        82            26             0           0             0               0      0       0       0       0       0       0       3
78       0      22      1       4        1            1            0          "Blue Eye Sword"                     220     492         502         40            100          0                 0                  380       83            24             0           0             0               0      0       3       0       0       0       0       0
79       0      56      1       4        1            1            0          "Blue Eye Magic Sword"               220     491         501         45            100          0                 140                380       60            35             6           0             0               0      0       0       0       3       0       0       0
80       0      270     1       2        1            1            0          "Blue Eye Claws"                     220     404         414         35            100          0                 0                 380        47            14             0           0             0               0      0       0       0       0       0       0       3
81       0      22      1       4        1            1            0          "Silver Heart Sword"                 240 	   556 		   567 		   40 		     100 		  0 			    0 			      380 		 575 		   187 		      468 		  0 		    0		        0 	   0 	   3 	   0 	   0 	   0 	   0 	   0
82       0      56      1       4        1            1            0          "Silver Heart Magic Sword"           240 	   555 		   565 		   45 		     100 		  0 			    149 			  380 		 425 		   262 		      82 		  0 		    0		        0 	   0 	   0 	   0 	   3 	   0 	   0 	   0
83       0      270     1       2        1            1            0          "Silver Heart Claws"                 240 	   468 		   480 		   35 		     100 		  0 			    0 			      380 		 340 		   114 		      0 		  0 		    0		        0 	   0 	   0 	   0 	   0 	   0 	   0 	   3
200      0      22      1       4        1            1            1          "Sword of Destruction"               82      82          90          35            84           0                 0                 0          160           60             0           0             0               0      0       1       0       1       0       0       0
end

1
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        0      0       1       3        1            1            1          "Small Axe"                          1       1           6           20            18           0                 0                 0          50            0              0           0             0               0      1       1       1       1       1       1       1
1        0      0       1       3        1            1            1          "Hand Axe"                           4       4           9           30            20           0                 0                 0          70            0              0           0             0               0      1       1       1       1       1       1       1
2        0      19      1       3        1            1            1          "Double Axe"                         14      14          24          20            26           0                 0                 0          90            0              0           0             0               0      0       1       0       1       1       0       0
3        0      19      1       3        1            1            1          "Tomahawk"                           18      18          28          30            28           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
4        0      0       1       3        1            1            1          "Elven Axe"                          26      26          38          40            32           0                 0                 0          50            70             0           0             0               0      1       0       1       1       0       1       0
5        0      19      2       3        1            1            1          "Battle Axe"                         30      36          44          20            36           0                 0                 0          120           0              0           0             0               0      0       1       1       1       0       0       0
6        0      19      2       3        1            1            1          "Nikea Axe"                          34      38          50          30            44           0                 0                 0          130           0              0           0             0               0      0       1       1       1       0       0       0
7        0      19      2       3        1            1            1          "Larkan Axe"                         46      54          67          25            55           0                 0                 0          140           0              0           0             0               0      0       1       0       1       0       0       0
8        0      19      2       3        1            1            1          "Crescent Axe"                       54      69          89          30            65           0                 0                 0          100           40             0           0             0               0      1       1       0       1       0       0       0
end

2
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        0      0       1       3        1            1            1          "Mace"                               7       7           13          15            21           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
1        0      19      1       3        1            1            1          "Morning Star"                       13      13          22          15            25           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
2        0      0       1       3        1            1            1          "Flail"                              22      22          32          15            32           0                 0                 0          80            50             0           0             0               0      0       1       0       1       1       0       1
3        0      19      2       3        1            1            1          "Great Hammer"                       38      45          56          15            50           0                 0                 0          150           0              0           0             0               0      0       1       0       1       0       0       1
4        0      19      2       3        1            1            1          "Crystal Morning Star"               66      78          107         30            72           0                 0                 0          130           0              0           0             0               0      1       1       1       1       0       0       1
5        0      23      2       4        1            1            1          "Crystal Sword"                      72      89          120         40            76           0                 0                 0          130           70             0           0             0               0      1       1       1       1       0       0       0
6        0      23      2       4        1            1            0          "Chaos Dragon Axe"                   75      102         130         35            80           0                 0                 0          140           50             0           0             0               0      0       1       0       1       0       0       0
7        0      0       1       3        1            1            1          "Elemental Mace"                     90      62          80          50            50           0                 0                 0          15            42             0           0             0               0      0       0       2       0       0       0       0
8        0      66      1       3        1            1            1          "Battle Scepter"                     54      41          52          45            40           0                 3                 0          80            17             0           0             0               0      0       0       0       0       1       0       0
9        0      66      1       3        1            1            1          "Master Scepter"                     72      57          68          45            45           0                 20                0          87            18             0           0             0               0      0       0       0       0       1       0       0
10       0      66      1       4        1            1            1          "Great Scepter"                      82      74          85          45            65           0                 35                0          100           21             0           0             0               0      0       0       0       0       1       0       0
11       0      66      1       4        1            1            1          "Lord Scepter"                       98      91          102         40            72           0                 52                0          105           23             0           0             0               0      0       0       0       0       1       0       0
12       0      66      1       4        1            1            1          "Great Lord Scepter"                 140     108         120         40            84           0                 67                0          90            20             0           0             0               0      0       0       0       0       1       0       0
13       0      66      1       4        1            1            1          "Divine Scepter of Archangel"        150     200         223         45            90           0                 138               0          75            16             0           0             0               0      0       0       0       0       1       0       0
14       0      66      1       4        1            1            1          "Soleil Sceptor"                     146     130         153         40            95           0                 84                380        80            15             0           0             0               0      0       0       0       0       1       0       0
15       0      66      1       4        1            1            1          "Shining Scepter"                    110     99          111         40            78           0                 60                0          108           22             0           0             0               0      0       0       0       0       1       0       0
16       0      0       1       3        1            1            1          "Frost Mace"                         121     106         146         50            80           0                 0                 380        27            19             0           0             0               0      0       0       2       0       0       0       0
17       0      66      1       4        1            1            1          "Absolute Scepter"                   135     114         132         40            90           0                 72                380        119           24             0           0             0               0      0       0       0       0       1       0       0
18       0      66      1       4        1            1            1          "Striker Scepter"                    147     112         124         40            86           0                 70                0          87            20             0           0             0               0      0       0       0       0       1       0       0
19       0      66      1       4        1            1            0          "Thunderbolt"                        149     127         154         40            78           0                 76                380        111           22             0           0             0               0      0       0       0       0       3       0       0
20       0      19      2       4        1            1            0          "Horn of Steal"                      149     177         206         25            120          0                 0                 380        182           50             0           0             0               0      0       3       0       0       0       0       0
22       0      66      1       4        1            1            0          "Bloodangel Scepter"                 150     188         200         40            100          0                 104               380        114           23             0           0             0               0      0       0       0       0       3       0       0
25       0      66      1       4        1            1            0          "Blessed Divine Arch Scepter"        200     331         341         45            170          0                 175               380        75            16             0           0             0               0      0       0       0       0       1       0       0
26       0      66      1       4        1            1            0          "Darkangel Scepter"                  160     223         233         40            100          0                 114               380        114           23             0           0             0               0      0       0       0       0       3       0       0
27       0      66      1       4        1            1            0          "Holyangel Scepter"                  180     318         330         40            100          0                 134               380        105           22             0           0             0               0      0       0       0       0       3       0       0
32       0      0       1       3        1            1            0          "Bloodangel Runic Mace"              150     95          101         50            0            100               122               380        42            14             129         0             0               0      0       0       0       0       0       0       0
33       0      0       1       3        1            1            0          "Darkangel Runic Mace"               160     125         131         50            0            100               136               380        42            14             129         0             0               0      0       0       0       0       3       0       0
34       0      0       1       3        1            1            0          "Absolute Mace of Archangel"         104     158         170         50            0            182               142               380        32            4              64          0             0               0      0       0       0       0       0       0       0
35       0      0       1       3        1            1            0          "Blessed Divine Arch Mace"           200     158         170         50            0            182               160               380        28            4              79          0             0               0      0       0       0       0       3       0       0
36       0      66      1       4        1            1            0          "Soul Scepter"                       200     403         416         40            100          0                 154               380        98            21             0           0             0               0      0       0       0       0       3       0       0
38       0      0       1       3        1            1            0          "Holyangel Rune Mace"                180     135         141         50            0            100               152               380        42            14             129         0             0               0      0       0       0       0       3       0       0
39       0      0       1       3        1            1            0          "Soul Rune Mace"                     200     145         151         50            0            100               174               380        39            13             120         0             0               0      0       0       0       0       3       0       0
40       0      66      1       4        1            1            0          "Blue Eye Scepter"                   220     490         504         40            100          0                 154               380        57            11             0           0             0               0      0       0       0       0       3       0       0
41       0      0       1       3        1            1            0          "Blue Eye Mace"                      220     156         161         50            0            100               196               380        21            6              60          0             0               0      0       0       0       0       3       0       0
42       0      66      1       4        1            1            0          "Silver Heart Scepter"               240 	   577 		   593 		   40 		     100 		  0 			    185 			  380 		 406 		   95 		      0 		  0 		    0		        0 	   0 	   0 	   0 	   0 	   3 	   0 	   0
43       0      0       1       3        1            1            0          "Silver Heart Mace"                  240 	   171 		   178 		   50 		     0 		      100 			    219 			  380 		 168 		   65 		      554 		  0 		    0		        0 	   0 	   0 	   0 	   0 	   3 	   0 	   0
end

3
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        0      22      2       4        1            1            1          "Light Spear"                        42      50          63          25            56           0                 0                 0          60            70             0           0             0               0      0       1       1       1       0       0       0
1        0      0       2       4        1            1            1          "Spear"                              23      30          41          30            42           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0       0
2        0      0       2       4        1            1            1          "Dragon Lance"                       15      21          33          30            34           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0       0
3        0      0       2       4        1            1            1          "Giant Trident"                      29      35          43          25            44           0                 0                 0          90            30             0           0             0               0      0       1       1       1       0       0       0
4        0      20      2       4        1            1            1          "Serpent Spear"                      46      58          80          20            58           0                 0                 0          90            30             0           0             0               0      0       1       1       1       0       0       0
5        0      0       2       4        1            1            1          "Double Poleaxe"                     13      19          31          30            38           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0       0
6        0      0       2       4        1            1            1          "Halberd"                            19      25          35          30            40           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0       0
7        0      22      2       4        1            1            1          "Berdysh"                            37      42          54          30            54           0                 0                 0          80            50             0           0             0               0      0       1       1       1       0       0       0
8        0      22      2       4        1            1            1          "Great Scythe"                       54      71          92          25            68           0                 0                 0          90            50             0           0             0               0      0       1       1       1       0       0       0
9        0      22      2       4        1            1            1          "Bill of Balrog"                     63      76          102         25            74           0                 0                 0          80            50             0           0             0               0      0       1       1       1       0       0       0
10       0      22      2       4        1            1            1          "Dragon Spear"                       92      112         140         35            85           0                 0                 0          170           60             0           0             0               0      0       2       0       0       0       0       0
11       0      22      2       4        1            1            1          "Brova"                              147     190         226         40            90           0                 0                 0          152           25             0           0             0               0      0       2       0       1       0       0       0
12       0      20      2       4        1            1            0          "Magmus Peer"                        149     135         236         35            85           0                 0                 380        49            162            0           0             0               0      0       3       0       0       0       0       0
19       0      20      2       4        1            1            0          "Bloodangel Lance"                   150     134         145         40            100          0                 0                 380        70            50             0           0             0               0      0       3       3       3       0       0       0
24       0      20      2       4        1            1            0          "Darkangel Lance"                    160     150         160         40            100          0                 0                 380        70            50             0           0             0               0      0       3       3       3       0       0       0
25       0      22      2       4        1            1            0          "Holyangel Lance"                    180     202         212         40            100          0                 0                 380        65            46             0           0             0               0      0       3       3       3       0       0       0
26       0      20      2       4        1            1            0          "Absolute Lance of the Arch."        100     115         126         40            100          0                 0                 380        65            46             0           0             0               0      0       0       0       0       0       0       0
27       0      22      2       4        1            1            0          "Blessed Divine Arch Lance"          200     173         184         40            100          0                 0                 380        62            43             0           0             0               0      0       3       3       3       0       0       0
28       0      22      2       4        1            1            0          "Soul Lance"                         200     254         264         40            100          0                 0                 380        61            43             0           0             0               0      0       3       3       3       0       0       0
29       0      22      2       4        1            1            0          "Blue Eye Lance"                     220     306         318         40            100          0                 0                 380        35            24             0           0             0               0      0       3       3       3       0       0       0
30       0      22      2       4        1            1            0          "Silver Heart Lance"                 240 	   358 		   373 		   40 		     100 		  0 			    0 			      380 		 256 		   183 		      0 		  0 		    0		        0 	   0 	   3 	   0 	   3 	   0 	   0 	   0
