//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
6297 32002 30 0 1.00 0.50 0.00 1.1 0.0 0.0
6297 32002 38 0 1.00 0.50 0.00 1.1 0.0 0.0
6297 32002 46 0 1.00 0.50 0.00 1.5 0.0 0.0
6297 32002 47 0 1.00 0.50 0.00 0.8 0.0 0.0
6297 32002 58 0 1.00 0.50 0.00 0.5 0.0 0.0
6297 32002 51 0 1.00 0.50 0.00 0.5 0.0 0.0
6297 32002 28 0 0.50 0.05 0.00 1.8 0.0 0.0
6297 32002 37 0 0.50 0.05 0.00 1.5 0.0 0.0
6297 32002 42 0 0.50 0.05 0.00 1.5 0.0 0.0
6297 32002 05 0 0.50 0.05 0.00 1.8 0.0 0.0
6297 32002 14 0 0.50 0.05 0.00 1.5 0.0 0.0
6297 32002 19 0 0.50 0.05 0.00 1.5 0.0 0.0
6297 32002 57 0 0.50 0.05 0.00 1.8 0.0 0.0
6297 32002 60 0 0.50 0.05 0.00 1.3 0.0 0.0
6297 32002 61 0 0.50 0.05 0.00 1.5 0.0 0.0
6297 32002 50 0 0.50 0.05 0.00 1.8 0.0 0.0
6297 32002 53 0 0.50 0.05 0.00 1.3 0.0 0.0
6297 32002 54 0 0.50 0.05 0.00 1.5 0.0 0.0
//Wings Devil & Angel
6298 32002 3 0 0.53 0.36 1.00 1.0 0.0 0.0
6298 32002 13 0 0.53 0.36 1.00 1.0 0.0 0.0
6298 32002 15 0 0.53 0.36 1.00 1.0 0.0 0.0
6298 32002 25 0 0.53 0.36 1.00 1.0 0.0 0.0
6298 32002 27 0 0.53 0.36 1.00 1.0 0.0 0.0
6298 32002 39 0 0.56 0.45 1.00 2.0 0.0 0.0
6298 32002 43 0 0.56 0.45 1.00 2.0 0.0 0.0
6298 32002 44 0 0.56 0.45 1.00 2.0 0.0 0.0
6298 32002 45 0 0.56 0.45 1.00 2.0 0.0 0.0
6298 32002 46 0 0.56 0.45 1.00 2.0 0.0 0.0
6298 32002 40 0 1.00 0.79 0.60 2.0 0.0 0.0
6298 32002 41 0 1.00 0.79 0.60 1.5 0.0 0.0
6298 32002 42 0 1.00 0.79 0.60 0.8 0.0 0.0
6298 32002 59 0 1.00 0.79 0.60 2.0 0.0 0.0
6298 32002 61 0 1.00 0.79 0.60 1.5 0.0 0.0
6298 32002 61 0 1.00 0.79 0.60 0.8 0.0 0.0
6298 32002 58 0 0.56 0.45 1.00 2.0 0.0 0.0
6298 32002 62 0 0.56 0.45 1.00 2.0 0.0 0.0
6298 32002 63 0 0.56 0.45 1.00 2.0 0.0 0.0
6298 32002 64 0 0.56 0.45 1.00 2.0 0.0 0.0
6298 32002 65 0 0.56 0.45 1.00 2.0 0.0 0.0
//Angelic Bow (bow26.bmd)
2073 32002 22 0 0.50 0.87 0.40 1.0 0.0 0.0
2073 32002 23 0 0.50 0.87 0.40 1.0 0.0 0.0
2073 32002 24 0 0.50 0.87 0.40 1.0 0.0 0.0
2073 32002 27 0 0.50 0.87 0.40 1.0 0.0 0.0
2073 32002 28 0 0.50 0.87 0.40 1.0 0.0 0.0
2073 32002 29 0 0.50 0.87 0.40 1.0 0.0 0.0
2073 32002 13 0 0.50 0.87 0.40 1.5 0.0 0.0
//Devil Crossbow (devilcrossbow.bmd)
2074 32002 6 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 7 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 8 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 9 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 10 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 11 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 16 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 17 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 18 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 19 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 20 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 21 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 22 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 23 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 24 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 25 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 26 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 29 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 30 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 31 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 32 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 33 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 34 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 35 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 36 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 37 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 38 0 1.00 0.14 0.04 0.8 0.0 0.0
2074 32002 39 0 1.00 0.14 0.04 0.8 0.0 0.0
//Thunderbolt (thunder_bolt.bmd)
1043 32002 2 0 0.20 0.46 0.90 0.8 0.0 0.0
1043 32002 3 0 0.20 0.46 0.90 0.8 0.0 0.0
1043 32002 4 0 0.20 0.46 0.90 0.8 0.0 0.0
1043 32002 7 0 0.18 0.50 0.50 1.0 0.0 0.0
1043 32002 7 0 0.50 0.50 0.50 0.3 0.0 0.0
1043 32266 7 0 0.36 1.00 1.00 0.6 0.0 0.0
1043 32266 5 0 0.20 0.46 0.90 0.3 0.0 0.0
1043 32266 6 0 0.20 0.46 0.90 0.3 0.0 0.0
1043 32266 8 0 0.20 0.46 0.90 0.3 0.0 0.0
1043 32002 8 0 0.50 0.50 0.50 0.1 0.0 0.0
//Asura (asura.bmd)
30 32002 3 0 0.98 0.09 0.02 1.2 0.0 0.0
30 32002 4 0 0.98 0.09 0.02 1.2 0.0 0.0
30 32002 5 0 0.98 0.09 0.02 1.2 0.0 0.0
30 32002 6 0 0.98 0.09 0.02 1.2 0.0 0.0
30 32002 7 0 0.98 0.09 0.02 1.2 0.0 0.0
30 32002 8 0 0.98 0.09 0.02 1.2 0.0 0.0
30 32002 9 0 0.98 0.09 0.02 1.1 0.0 0.0
30 32002 10 0 0.98 0.09 0.02 0.9 0.0 0.0
30 32002 11 0 0.98 0.09 0.02 0.8 0.0 0.0
30 32002 12 0 0.98 0.09 0.02 0.7 0.0 0.0
//Miracle Staff (MiracleStaff.bmd)
2595 32002 5 0 0.13 0.19 1.00 0.5 0.0 0.0
2595 32002 6 0 0.13 0.19 1.00 0.5 0.0 0.0
2595 32002 7 0 0.13 0.19 1.00 0.5 0.0 0.0
2595 32002 10 0 0.13 0.19 1.00 0.5 0.0 0.0
2595 32002 11 0 0.13 0.19 1.00 0.5 0.0 0.0
2595 32002 12 0 0.13 0.19 1.00 0.5 0.0 0.0
2595 32002 15 0 0.13 0.19 1.00 0.5 0.0 0.0
2595 32002 16 0 0.13 0.19 1.00 0.5 0.0 0.0
2595 32002 19 0 0.13 0.19 1.00 0.5 0.0 0.0
2595 32002 20 0 0.13 0.19 1.00 0.5 0.0 0.0
2595 32002 21 0 0.13 0.19 1.00 0.5 0.0 0.0
2595 32002 8 0 1.00 0.16 0.47 0.5 0.0 0.0
2595 32002 9 0 1.00 0.16 0.47 0.5 0.0 0.0
2595 32002 17 0 1.00 0.16 0.47 0.5 0.0 0.0
2595 32002 18 0 1.00 0.16 0.47 0.5 0.0 0.0
2595 32002 26 0 1.00 0.16 0.47 1.5 0.0 0.0
2595 32002 26 0 1.00 0.16 0.47 1.5 0.0 0.0
//Spite Staff (kerberos_spear_dark_road.bmd)
2597 32002 3 0 0.99 0.23 0.13 2.0 0.0 0.0
2597 32002 4 0 0.99 0.23 0.13 0.7 0.0 0.0
2597 32002 4 0 1.00 0.75 0.66 0.2 0.0 0.0
2597 32002 4 0 1.00 0.75 0.66 0.2 0.0 0.0
//Magmus Peer (MagmaSpear.bmd)
1548 32002 1 0 1.00 0.18 0.00 1.0 0.0 0.0
1548 32002 2 0 1.00 0.18 0.00 1.2 0.0 0.0
1548 32002 3 0 1.00 0.18 0.00 1.4 0.0 0.0
1548 32002 4 0 1.00 0.18 0.00 1.6 0.0 0.0
1548 32002 6 0 1.00 0.18 0.00 1.6 0.0 0.0
1548 32002 7 0 1.00 0.18 0.00 1.6 0.0 0.0
1548 32002 8 0 1.00 0.18 0.00 1.0 0.0 0.0
//Horn of Steal (hornofsteel.bmd)
1044 32002 1 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 2 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 3 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 4 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 5 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 6 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 7 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 8 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 9 0 1.00 0.25 1.00 2.0 0.0 0.0
//Blast Break (blastbreak.bmd)
37 32002 3 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 4 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 5 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 6 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 7 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 8 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 9 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 10 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 11 0 0.50 0.73 1.00 0.5 0.0 0.0
//Sonic Blade-Cyclone Sword (balhalla_sword.bmd)
29 32002 1 0 1.00 0.74 0.67 0.8 0.0 0.0
29 32002 2 0 1.00 0.74 0.67 0.8 0.0 0.0
29 32002 3 0 1.00 0.74 0.67 0.8 0.0 0.0
29 32002 4 0 1.00 0.74 0.67 0.8 0.0 0.0
29 32002 5 0 1.00 0.74 0.67 0.8 0.0 0.0
29 32002 6 0 1.00 0.74 0.67 0.8 0.0 0.0
29 32002 7 0 1.00 0.74 0.67 0.8 0.0 0.0
end
