//Index   Message
224       "You must be at least level %d to move"
225       "You must be at least %d zen to move"
226       "You can not move at this time time"
227       "Sát thủ không thể dịch chuyển"
228       "You do not have correct equipment to move"
229       "Only members of families of gens can move"
230       "You need to be max level %d to move"
231       "You must be at least %d resets to move"
232       "You need to have a maximum of %d resets to move"
240       "Senior is not currently active"
241       "Senior does not work during Castle Siege"
242       "You have to be in guild owner of castle to use Senior"
243       "You must be owner of guild to use Senior"
244       "Guardsman does not work during Castle Siege"
245       "You are already in a guild"
246       "You do not have enough level to create a guild"
247       "Cửa đang trống rỗng"
248       "[Tài khoản] Bình Thường"
249       "[Tài khoản] Đồng (%s)"
250       "[Tài khoản] Bạc (%s)"
251       "[Tài khoản] Vàng (%s)"
256       "Chào mừng %s đã đến với MU Discord"
257       "Bạn phải đạt tối thiểu cấp độ 40 để sử dụng ring"
258       "Bạn phải đạt tối thiểu cấp độ 80 để sử dụng ring"
259       "Bạn không thể dịch chuyển đến bản đồ này tại thời điểm này"
260       "Bạn không thể nhặt vật phẩm này tại thời điểm này"
261       "Bạn không thể thoát trò chơi khi đang giao dịch"
262       "Bạn không thể thoát trò chơi khi đang mở hòm"
263       "Bạn không thể thoát trò chơi khi đang dùng máy Chaos"
264       "Bạn không thể thoát trò chơi với an open Trainer"
265       "Bạn không thể quit game being in Self Defense"
266       "Bạn đã đạt level tối đa"
267       "Bạn đã đạt level master tối đa"
268       "Bạn chỉ có thể phân bổ %d điểm"
269       "Bạn không thể nói chuyện trong vòng %d giây"
270       "Bạn không thể gửi tin nhắn cho chính mình"
271       "Hello, I am cheerful guard"
272       "It was not possible to carry out teleportation"
273       "You will be teleported in %d second(s)"
274       "You can not move this map with mount"
275       "You can not move to this map without wing"
276       "Gift CashShop"
277       "Đồng chí %s đã đánh bại một Golden Budge Dragon!"
278       "Đồng chí %s đã đánh bại một Golden Titan!"
279       "Đồng chí %s đã đánh bại một Golden Soldier!"
280       "Đồng chí %s đã đánh bại một Golden Goblin!"
281       "Đồng chí %s đã đánh bại một Golden Derkon!"
282       "Đồng chí %s đã đánh bại một Golden Lizard King!"
283       "Đồng chí %s đã đánh bại một Golden Vepa!"
284       "Đồng chí %s đã đánh bại một Golden Tantalos!"
285       "Đồng chí %s đã đánh bại một Golden Wheel!"
286       "Đồng chí %s đã đánh bại một Quái Vật Vàng!"
287       "Đồng chí %s đã đánh bại một Quái Vật Vàng!"
288       "Đồng chí %s đã đánh bại một Quái Vật Vàng!"
289       "Đồng chí %s đã đánh bại một Quái Vật Vàng!"
290       "Đồng chí %s đã đánh bại một Quái Vật Vàng!"
291       "Đồng chí %s đã đánh bại một Quái Vật Vàng!"
292       "Đồng chí %s đã đánh bại một Quái Vật Vàng!"
293       "Đồng chí %s đã đánh bại một Quái Vật Vàng!"
294       "Đồng chí %s đã đánh bại một Quái Vật Vàng!"
295       "Đồng chí %s đã đánh bại một Quái Vật Vàng!"
304       "Ice Walker appeared!"
305       "You're not strong enough to get in Double Goer"
306       "Ice Walker was defeated!"
320       "Selupan appeared! Gate of Hatchery will close in %d minute(s)"
321       "Hatchery gate closed"
322       "Player %s defeated Selupan!"
323       "Gate of Hatchery will open again in %d minute(s)"
324       "Gate of Hatchery opened!"
325       "Hatchery gate is closed"
336       "Refinement Tower will close in 60 minute(s)"
337       "Refinement Tower will close in 20 minute(s)"
338       "Kanturu door will open in 1 minute(s)"
339       "Battle against Maya will start soon, get ready"
340       "Next battle will begin in 1 minute(s)"
341       "Nightmare appeared! Defeat him to release Refinement Tower"
342       "Nightmare was defeated! Refinement Tower has been released"
343       "Time is up, you will be removed from event"
352       "Castle Deep will start in 5 minute(s)"
353       "Castle Deep started"
354       "Castle Deep ended"
355       "Erohim player was killed by %s"
356       "%s killed by player %s"
368       "Balgass joined forces with army of Kundun and is preparing to attack fortress of Crywolf"
369       "Armada of Balgass is ready to attack fortress of Crywolf"
370       "Armada of Balgass is marching to fortress of Crywolf"
371       "Armada of Balgass is approaching fortress Crywolf"
372       "No Elfa has connected to altars, leaving statue of unprotected wolf"
373       "Balgass will be alive by end of battle"
374       "Defense failed! statue of sacred wolf was taken by Balgass"
375       "Defense was successful! statue of sacred wolf was protected"
376       "Connection period with Wolf Altars starts in %d second(s)"
377       "Connection period with Wolf Altars starts in %d minute(s)"
378       "Armada of Balgass will attack in %d second(s)"
379       "Armada of Balgass will attack in %d minute(s)"
380       "Without protection of elven statue of holy wolf was unprotected"
381       "Balgass is coming! Protect statue of holy wolf"
382       "Armada of Balgass began attacking statue of holy wolf"
383       "Armada of Balgass was defeated with help of heroes"
384       "MvP Rank: %d"
385       "MvP Experience: %d"
386       "Balgass was killed by %s!"
387       "Balgass was dead!"
388       "Dark Elf %d was killed by %s!"
389       "MvP Point: %d"
390       "Connected to altar %d"
391       "%s is connected to altar %d"
392       "Altar was connected %d"
393       "Connection period to pedestal %d not started yet"
394       "Altar %d already has connected more than 2 times"
395       "Position to connect to altar %d is wrong" 
396       "%s is trying to connect to altar %d"
397       "You will be connected to altar in 5 second(s)" 
398       "Do not move until connection is complete"
399       "Connection to altar %d was canceled"
400       "Statue of barrier of holy wolf disappeared" 
401       "Number of connections: %d, statue of Life: %d" 
402       "Holy wolf statue barrier was created"
403       "Connection requires a level 260 or higher"
416       "Castle Siege ended"
417       "Castle Siege registration period began"
418       "Registration of Castle Siege emblems period started"
419       "Period of selection of Castle Siege guilds started"		
420       "Selection of Castle Siege guilds completed"
421       "Prep period for Castle Siege started"
422       "Castle Siege will start in %d minute(s)"
423       "Castle Siege is being disputed"
424       "Guild %s was well succeeded in defending castle"
425       "Guild %s became new owner of castle"
426       "Owner of castle was not set"
427       "Only Guardian statue left"
432       "Position of player %s has been changed to Guild Leader Assistant"
433       "Position of player %s has been changed to Battlemaster"
434       "Position of player %s has been changed to Guild Member"
435       "Type of guild %s was changed to %d"
436       "Guild has entered alliance %s"
437       "Guild is now enemy of guild %s"
438       "Guild %s entered alliance %s"
439       "Guild withdrew from alliance"
440       "Guild %s withdrew from alliance %s"
441       "Guild is not more alliance %s"
442       "Guild is not more enemy guild %s"
443       "Alliance was undone %s"
448       "You can not invoke Life Stone outside Castle Siege"
449       "Only offensive alliance can invoke Life Stone"
450       "A Life Stone has been invoked"
451       "You can not invoke Life Stone inside Dragon Tower"
452       "A Life Stone was successfully invoked"
453       "A Life Stone failed to be invoked"
464       "You can not invoke soldier out of Castle Siege"
465       "Only defensive alliance can invoke soldier"
466       "Only guild leader and his assistant can invoke soldier"
467       "Maximum number of soldiers has been exceeded"
468       "Soldier has been successfully invoked"
469       "Soldier failed to be invoked"
480       "Server đã đóng"
481       "Server will automatically close in %d second(s)"
482       "This is a duplicate item, please contact with administrator"
483       "Your chat lockout ended"
484       "Bạn sẽ rời khỏi game trong %d giây"
485       "Self defense against %s started"
486       "Self defense against %s finished"
487       "Server will shut down automatically in 1 minute(s)"
488       "Server will shut down automatically in 3 minute(s)"
489       "Server will shut down automatically in 5 minute(s)"
490       "Game will start automatically in 10 seconds(s)"
491       "%s won %d Jewel of Bless"
492       "%s kill to Phoenix"
493       "You have earned %d event points and %d gold"
494       "%s killed a gold one"
495       "You have earned %d event points and %d gold"
496       "%s killed Erohin"
497       "You have earned %d event point (s) and %d Golds"
498       ""
499       "Eliminate errors before placing"
500       "[King of MU] The event started"
501       "[King of MU] The event ended"
502       "[King of MU] Starts at %d minute (s)"
503       "[King of MU] The Guild %s took the castle!"
504       "[King of Mu] starts in %d second (s)"
505       ""
506       "You are not a member of a Guild!"
507       "Your Guild already owns the castle!"
508       "You are not in the correct coordinate!"
509       "Your Guild must have at least %d members!"
510       "Congratulations, your Guild now owns the castle!"
511       "[King of Mu] Finish in %d minute (s)!"
512       ""
513       "Clear inventory successfully!"
514       "Chào mừng đến với MU Discord"
515       "%s đã hạ gục %s"
516       "%s đã hạ gục %s"
517       ""
518       "It is not allowed to use / setvip"
519       "VIP successfully added!"
520       "This account does not exist!"
521       "%s you no longer need my help"
522       "%s Your VIP plan does not allow the use of this benefit"
523       "%s Zen required: %d"
524       "%s PCPoint required: %d"
525       "%s You need to be in the Vanert family"
526       "%s You need to be in the Duprian family"
527       "%s You need to be in the Duprian family"
528       "%s You need to be in the Vanert family"
529       "%s Required Family Points: %d"
530       "%s Time:% d Minutes (s)"
531       "%s Removed% d Zen"
532       "%s Removed% d PCPoint (s)"
533       "%s Buff Applied!"
540       "[LUCKYWHEEL] You need %d WcoinC"
541       "[LUCKYWHEEL] You need %d WcoinP"
542       "[LUCKYWHEEL] You need %d GobliCoins"
543       "[%s] Lucky spin, get rewarded!"
544       "%s answered [%s]"
602       "You can't marry yourself 0.0!"
603       "You just married %s!"
604       "You're already married!"
605       "The other character is already married!"
606       "Usage: [/marry to name | /marry divorce | /marry track or trace]!"
607       "You can't get a divorce in the first week of being married!"
608       "You just got divorced!"
609       "You are not married!"
610       "You've tracked!"
611       "You have tracked!"
612       "%s just got married %s!"
613       "%s just divorced %s!"
614       "[Marriage system] Congragulations,"
615       "between %s and %s!"
616       "[Marriage system] No pigs allowed"
617       "You need at least %d level to use this command!"
618       "He / She needs at least %d level to use this command!"
619       "The marriage system has been disabled!"
620       "You need at least %d zen to use this command!"
621       "You must stand in the correct position in Devias2!"
622       "Your target must be in the correct position in Devias2!"
623       "Information: [Minimum level: %d | Trace and trace cost: %d zen]!"
624       "You can't get divorced while he / she is offline!"
625       "The other character is offline!"
626       "Skin %d applied to %d players!"
627       "Character %s is disconnected!"
628       ""
629       "Requires level %d to eliminate Character %s"
630       "You must be at level %d to use this command!"
631       "Allowed to use only within the city!"
632       "You and your opponent must be at level %d to duel!"
633       "Command not enabled for your account!"
634       "Command: [/classe dw, dk, elf, mg, dl, su]"
635       "You must choose a different class than yours!"
636       "You must remove the elements of the character first!"
637       "Class not available!"
638       "Resets required: %d!"
639       "[GameMaster] %s đang trực tuyến!"
640       "%s đang trực tuyến!"
641       "You are not allowed to use!"
642       "Character not found!"
643       "Command: [/award CHAR TYPE VALUE]"
644       "Award type is not available!"
645       "Premium amount greater than allowed!"
646       "Award successfully added!"
647       "You can't reward yourself!"
648       "Command: [/reload type | Ex: /reload common]"
649       "Reload successful!"
650       "Command: [/premiarall VALUE TYPE]"
651       "The name must have a maximum of 10 letters."
652       "This name already exists."
653       "Please wait %d seconds to use again."
654       "That name already exists!"
655       "Name changed successfully!"
656       "Name not changed!"
657       "The character %s has been renamed to %s!"
658       "You must leave the Guild to change the name."
659       "You can't use it now"
660       "[SPEED] started at %s!"
661       "Event [SPEED] ends in %d minute (s)!"
662       "Event [SPEED] ends in %d second (s)!"
663       "[SPEED] Winner %s!"
664       "[SPEED] End of event - No winner!"
665       "[SPEED] Execute for wire x %d y %d"
666       "[SPEED] End of event - Event canceled!"
667       "Ban failed!"
668       "Account Banned Successfully!"
669       "Character removed successfully!"
670       "[EVENT] closes in %d second (s)"
671       "[EVENT] Time to attend is up!"
672       "[EVENT] Canceled!"
673       "[EVENT] %s started an event!"
674       "[EVENT] Enter /participate to enter!"
675       "[EVENT] Participant %s added!"
676       "[ESCESC] Ends in %d second (s)"
677       "[ESCESC] It's over with no victory!"
678       "[ESCESC] Canceled!"
679       "[ESCESC] %s event started!"
680       "[ESCESC] Find the GM and change!"
681       "[ESCESC] %s won the event!"
682       "[ESCESC] Event ends in %d minute (s)!"
683       "[PEGAPEGA] Closed!"
684       "[PEGAPEGA] Event started. Execution denied!"
685       "[PEGAPEGA] Time is running out!"
686       "[PEGAPEGA] Canceled!"
687       "[PEGAPEGA] open!"
688       "[PEGAPEGA] Enter /want to join!"
689       "[PEGAPEGA] Participant %s added!"
690       "[PEGAPEGA] %s won the event!"
691       "[PEGAPEGA] %s got caught!"
692       "[QUEST% d] You must be at level %d or +!"
693       "[QUEST% d] Must have %d reset (s) or +!"
694       "[QUEST% d] Must have %d reset (s) master or +!"
695       "[QUEST% d] You must have %d zen o +!"
696       "[QUEST% d] You must go to %s (x %d, y %d)!"
697       "[QUEST% d] You don't have the necessary VIP plan!"
698       "[QUEST% d] Required item: %s!"
699       "[QUEST% d] You must kill %d %s (Missing: %d)!"
700       "[QUEST] Congratulations, you've completed all the missions!"
701       "[QUEST %d] Done! You have won: %d WC,%d WP,%d GP!"
702       "Congratulations, you received a gift!"
703       "You already received all your gifts!"
704       "[RoletaRussa] Closed!"
705       "[RoletaRussa] Event started!"
706       "[RoletaRussa] Time is running out!"
707       "[RoletaRussa] Canceled!"
708       "[RoletaRussa] open (Max Participants: %d)!"
709       "[RoletaRussa] Enter /want to join!"
710       "[RoletaRussa] Participant %d: %s added!"
711       "[RoletaRussa] %s won the event!"
712       "[RouletteRussa] Putting the bullet in the drum ...!"
713       "[RoletaRussa] Spinning the drum ...!"
714       "[RoletaRussa] Whipping ...!"
715       "[RoletaRussa] FIRE!"
716       "[RoletaRussa] HeadShot %s has been removed!"
717       "[RoletaRussa] %s escaped unscathed!"
718       "[King of MU] Awards ceremony !!!!"
719       "[King of MU] The Guild %s won the event!"
720       "[King of MU] Owner time: %d minute (s)!"
721       "[King of MU] All members of the Online Guild have won:"
722       "[King of MU] 10 WC !!!"
723       "[King of MU] Characters who won the most:"
724       "[King of MU] %d �: %s (Guild: %s)!"
725       "[King of MU] They have won 10 toilets each!"
726       "[King of MU] There was no winner!"
727       "[%s] Item needed: %s!"
730       "Đã cộng %d WC vào tài khoản của bạn!"
731       "Đã cộng %d WP vào tài khoản của bạn!"
732       "Đã cộng %d GP vào tài khoản của bạn!"
733       "Command: [/top class type | Ex: /top rr dk]"
734       "Command: [Class: dk, dw, fe, mg, dl, su]"
735       "No results!"
736       "%d Set: %s (%d)"
737       "Points Redistributed"
738       "%s has reached the patent %s!"
739       "You have reached the %s patent!"
740       "It was disabled = ("
741       "You must have 64 pieces of the same type in inventory"
742       "Thank you very much, I have already collected the articles and handed in your prize"
743       "Sorry, I'm not interested in those articles"
744       "You traded in your items for prizes!"
745       "[%s] Bắt đầu trong vòng %d phút!"
746       "[%s] Câu hỏi: (Gõ /resp để trả lời)"
747       "[%s] %s"
748       "[%s] %s đã chiến thắng sự kiện!"
749       "[%s] Không có Người chiến thắng!"
750       "[%s] Câu trả lời sai!"
751       "[%s] Phản hồi: %s"
752       "[PickUp %s] Enabled!"
753       "[PickUp %s] disabled!"
754       "[PickUp] disabled!"
755       "[ReMaster] MasterSkillTree reset!"
756       "[ReMaster] MasterSkillTree reset failed!"
757       "[BuyVip] You don't have the courage to buy!"
758       "[BuyVip] Congratulations, you have signed the %s!"
759       "[BuyVip] The chosen plan is lower than your current plan!"
760       "Giảm giá %d WC cho tài khoản của bạn!"
761       "Giảm giá %d WP cho tài khoản của bạn!"
762       "Giảm giá %d GP cho tài khoản của bạn!"
763       "Bạn không thể sử dụng tấn công tùy chỉnh khi MuHelper đang bật!"
764       "Bạn không thể sử dụng MuHelper khi đang tùy chỉnh tấn công!"
765       "Cannot be used above level: %d"
766       "Value to use: %d WC!"
767       "Value to use: %d WP!"
768       "Value to use: %d GP!"
769       "The Alliance Team won the event!"
770       "Team Phanton won the event!"
771       "[OffPvp] Enabled"
772       "[OffPvp] Off"
773       "[Lock] Enabled - Items Locked!"
774       "[Lock] Password must contain a maximum of 8 characters!"
775       "[Lock] Already activated, use /unlock to unlock!"
776       "[Lock] Off!"
777       "[Lock] Invalid password!"
778       "[Lock] Action locked by password!"
779       "You can only activate the command in the safe zone"
780       "Personal store is empty or items are priceless"
781       "ATTENTION! All items in this store are sold by Jewel of Bless"
782       "ATTENTION! All items in this shop are sold by Jewel of Soul"
783       "WARNING! All items in this shop are sold by Jewel of Chaos"
784       "ATTENTION! All items in this store are sold by WCoinC"
785       "ATTENTION! All items in this store are sold by WCoinP"
786       "ATTENTION! All items in this store are sold for Goblin Point"
787       "You need to open the Personal Store before"
788       "The command will run for %d minute (s)"
789       "Store /usage timeout"
790       "[Attack] Disabled"
791       "[Attack] You cannot use this location"
792       "[Attack] You don't have the required skill to use."
793       "[Attack] Usage time: %d minute (s)"
794       "[Attack] Time"
795       "[Attack] Enabled"
796       "[OffAttack] You must enable / attack first"
797       "[OffAttack] You cannot use this location"
798       "This Guild does not exist!"
799       "[PvP] Time is running out!"
800       "[PvP] Canceled!"
801       "[PvP] %s x %s started!"
802       "[PvP] %s %d x %d %s!"
803       "[PvP] %s won the event!"
804       "[PvP] It started!"
805       "[Kill Kill] Closed!"
806       "[Kill Kill] Event started!"
807       "[MataMata] Time is running out!"
808       "[Kill Kill] Canceled!"
809       "[Kill Kill] open (Max Participants: %d)!"
810       "[Kill Kill] Guy / wants to participate!"
811       "[Kill] Player% d: %s added!"
812       "[Kill Kill] 1st - %s (%d points)!"
813       "[Kill] 2nd - %s (%d points)!"
814       "[Kill Kill] 3rd - %s (%d points)!"
815       "[Kill Kill] Your position: %d� (%d points)!"
816       "Score [Kill Kill]: %d points!"
817       "The new name contains illegal text!"
818       "Required: %d reset (s) master (s)"
819       "Not allowed with %d master or +"
820       "Command: [/package (soul, blessing, etc.) (10,20,30)]"
821       "Command: [/unpack (soul, blessing, etc.) (10,20,30)]"
822       "Does not have the required items"
823       "Command completed successfully."
824       "You have no inventory space"
825       "[TvTEvent] closes in %d minute (s)"
826       "Ticket for team vs team event"
827       "[TvTEvent] closed!"
828       "[TvTEvent] starts in %d minute (s)"
829       "[TvTEvent] started!"
830       "[TvTEvent] has finished!"
831       "[TvTEvent] You can't come in!"
832       "[TvTEvent] It is not open!"
833       "[TvTEvent] You do not have the necessary element to enter!"
834       "You don't have the courage to buy!"
835       "Not allowed in commerce!"
836       "% d Zen discount for using the command!"
837       "Value to use: %d WC,%d WP,%d GP!"
838       "Re-enter the command if you want to use it!"
839       "Another Guild User Has an Open Chest!"
840       "You can't use the Guild chest!"
841       "%s forbidden character %s for %d days!"
842       "%s counts of forbidden characters %s for %d days!"
843       "Use of [AntiHack] SpeedHack detected!"
844       "[Trade] Required amount: %d Zen!"
845       "[Commerce] Amount required: %d WC!"
846       "[Trade] Required amount: %d WP!"
847       "[Trade] Required amount: %d GP!"
848       "[Commerce] %s does not have the necessary value!"
849       "[QUEST %d] Required %d Cash to perform!"
850       "[QUEST %d] %d Gold is required to run!"
851       "[QUEST %d] %d PcPoint is required to do it"
852       "[QUEST %d] There is no inventory space to receive your prize!"
853       "[QUEST %d] Profit is already active, search later!"
854       "%d monsters left to complete mission!"
855       "Mission completed!"
856       "[QUEST %d] You don't have the necessary patent!"
857       "[QUEST %d] Required %d Kill (s) to continue!"
858       "Starting quarter, leaving %d second (s)"
859       "You cannot access this room! Exiting in %d second (s)"
860       "[QUEST] Congratulations, you have completed this mission!"
861       "Party restricted by %d level of difference"
862       "You can not master reset at time"
863       "You successfully reseted, and now have %d master resets"
864       "You can not reset at time"
865       "You successfully reseted, and now have %d resets"
870       "Give me Jewels and in return I will give you an item at random."
871       "Hòm đồ của bạn không có đủ không gian!"
872       "Bạn đã không may mắn lần này!"
873       "Thank you, I hope to see you soon!"
874       "[ResetChange] You don't have the required Reset."
875       "[ResetChange] Sucessful .. !!"
876       "[ChangeClass] You are not allowed to use."
877       "[DUEL INITIATED]"
878       "%s cược %s"
879       "%s cược %s"
880       "%s đã thắng cược và dành được %s"
881       "The duel between %s and %s was canceled due to inactivity"
882       "You can't start the duel if you don't bet."
883       "You must have the lower half of your inventory free to bet."
891       "Mua vật phẩm thành công!"
892       "Bạn cần nhiều WCoins hơn"
893       "Vật phẩm đã bị vô hiệu!"
894       "You can't buy items with that number of days!"
895       "Hòm đồ của bạn đã đầy"
896       "Bạn chỉ có thể chọn %d Tính năng hoàn hảo"
end
