//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle      NonCustomAttack       ResetEnable       GResetEnable   	Comment
38        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Kanturu 2"
39        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Kanturu 3"
40        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Silent"
41        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Barracks"
42        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Refuge"
45        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Illusion Temple 1"
46        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Illusion Temple 2"
47        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Illusion Temple 3"
48        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Illusion Temple 4"
49        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Illusion Temple 5"
50        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Illusion Temple 6"
51        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Elbeland"
52        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Blood Castle 8"
53        *       10          100              100            1000              0                 0                0              0                 1              0                 0           "Chaos Castle 7"
56        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Swamp of Calmness"
57        *       12          100              100            1000              0                 1                1              0                 0              0                 0           "Raklion 1"
58        *       12          100              100            1000              0                 1                1              0                 0              0                 0           "Raklion 2"
62        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "Santa Town"
63        *       12          100              100            1000              0                 0                1              1                 0              0                 0           "Vulcanus"
64        *       12          100              100            1000              0                 0                0              0                 1              0                 0           "Duel Arena"
65        *       12          100              100            1000              0                 0                1              0                 1              0                 0           "Double Goer 1"
66        *       12          100              100            1000              0                 0                1              0                 1              0                 0           "Double Goer 2"
67        *       12          100              100            1000              0                 0                1              0                 1              0                 0           "Double Goer 3"
68        *       12          100              100            1000              0                 0                1              0                 1              0                 0           "Double Goer 4"
69        *       12          100              100            1000              0                 0                1              0                 1              0                 0           "Imperial Guardian 1"
70        *       12          100              100            1000              0                 0                1              0                 1              0                 0           "Imperial Guardian 2"
71        *       12          100              100            1000              0                 0                1              0                 1              0                 0           "Imperial Guardian 3"
72        *       12          100              100            1000              0                 0                1              0                 1              0                 0           "Imperial Guardian 4"
79        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "Loren Market"
80        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "Karutan 1"
81        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "Karutan 2"
82        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "Arkania"
83        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "Swamp of Darkness"
84        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "Nixies Lake"
85        *       12          100              100            1000              0                 1                1              0                 0              0                 0           "Ferea"
86        *       12          100              100            1000              0                 1                1              0                 0              0                 0           "Nars"
87        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "Kubera Mine"
88        *       12          100              100            1000              0                 1                1              0                 0              0                 0           "Uruk Mountain"
89        *       12          100              100            1000              0                 1                1              0                 0              0                 0           "Acheron"
90        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "Debenter"
91        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "Deep Dungeon"
92        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "Deep Dungeon3"
93        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "Atlans Abyss"
94        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "Scotch Canyon"
95        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "New"
96        *       12          100              100            1000              0                 0                1              0                 0              0                 0           "New"
end
